NP_ID	Noun	NP_Morph	NP_Gloss	ASP	CNJ	POS	PSS	PHI	SEM	MRK	DRV	DET	NPS	NUM	ANM	SYN	DEF	REF
KS05403	sor -ən	xătəł sor -ən	солнце свет LOC	i	sbj	s	0	n	n	loc	nul	nul	0	s	non	iob	0	0
KS05404	xătəł	xătəł	солнце	i	sbj	s	0	n	n	nul	nul	nul	0	s	non	gen	1	1
KS05405	mes -ən	xătəł mes -ən	солнце тепло LOC	i	sbj	s	0	n	n	loc	nul	nul	0	s	non	iob	0	0
KS05501	łowatti -j -a	łowatti -j -a	величина STEM DAT	p	sbj	s	0	n	n	dat	nul	nul	0	s	non	iob	0	0
KS05601	aŋke -ł -ən	aŋke -ł -ən	мать 3SG LOC	p	sbj	s	1	3s	fam	loc	nul	nul	0	s	hum	iob	1	1
KS05602	ɔntəp -ən	aŋke -ł -ən ɔntəp -ən	мать 3SG LOC люлька LOC	p	sbj	s	0	n	n	loc	nul	nul	0	s	hum	iob	0	1
KS05701	ɔntəp -a	ɔntəp -a	люлька DAT	p	sbj	s	0	n	n	dat	nul	nul	0	s	non	iob	1	1
KS05702	pox -əł	pox -əł	мальчик 3SG	p	sbj	s	1	3s	dis	nul	nul	nul	0	s	hum	sbj	1	1
KS05703	ɔntəp	ɔntəp	люлька	p	sbj	s	0	n	n	nul	nul	nul	0	s	non	sbj	1	1
KS05801	ɔjka -j -əł	ɔjka -j -əł	мужичок STEM 3SG	p	sbj	s	1	3s	dis	nul	nul	nul	0	s	hum	sbj	1	1
KS05802	ime -ł	ime -ł	жена 3SG	p	obj	s	1	3s	fam	nul	nul	nul	0	s	hum	obj	1	1
KS05901	pox	jiwłap-ăsłap pox	безродный мальчик	n	n	s	0	n	n	nul	nul	nul	0	s	hum	prd	0	0
KS05902	ewi	jiwłap-ăsłap pox ewi	безродный мальчик девочка	n	n	s	0	n	n	nul	nul	nul	0	s	hum	prd	0	0
KS06001	pox -en	pox -en	сын 2SG	p	sbj	s	1	2s	dis	nul	nul	nul	0	s	hum	obj	0	0
KS06101	aśe -ł -ən	aśe -ł -ən	отец 3SG LOC	p	sbj	s	1	3s	fam	loc	nul	nul	0	s	hum	iob	1	1
KS06102	jux	jux	дерево	p	sbj	s	0	n	n	nul	nul	nul	0	s	non	gen	0	0
KS06103	ɔntəp -ən	jux ɔntəp -ən	дерево люлька LOC	p	sbj	s	0	n	n	loc	nul	nul	0	s	non	iob	0	1
KS06201	jux	jux	дерево	p	sbj	s	0	n	n	nul	nul	nul	0	s	non	gen	0	0
KS06202	ɔntəp -ən	jux ɔntəp -ən	дерево люлька LOC	p	sbj	s	0	n	n	loc	nul	nul	0	s	non	iob	1	1
KS06203	aŋke -ł -ən	aŋke -ł -ən	мать 3SG LOC	p	sbj	s	1	3s	fam	loc	nul	nul	0	s	hum	iob	1	1
KS06204	jux	jux	дерево	p	sbj	s	0	n	n	nul	nul	nul	0	s	non	gen	0	0
KS06205	ɔntəp -a	jux ɔntəp -a	дерево люлька DAT	p	sbj	s	0	n	n	dat	nul	nul	0	s	non	iob	1	1
KS06301	jux	jux	дерево	p	sbj	s	0	n	n	nul	nul	nul	0	s	non	gen	0	0
KS06302	ɔntəp -a	jux ɔntəp -a	дерево люлька DAT	p	sbj	s	0	n	n	dat	nul	nul	0	s	non	iob	1	1
KS06303	pox -əł	pox -əł	сын 3SG	p	sbj	s	1	3s	fam	nul	nul	nul	0	s	hum	sbj	1	1
KS06304	jux	jux	дерево	p	sbj	s	0	n	n	nul	nul	nul	0	s	non	gen	0	0
KS06305	ɔntəp	jux ɔntəp	дерево люлька	p	sbj	s	0	n	n	nul	nul	nul	0	s	non	sbj	1	1
KS06401	ɔjka -j -əł	ɔjka -j -əł	мужичок STEM 3SG	p	sbj	s	1	3s	dis	nul	nul	nul	0	s	hum	sbj	1	1
KS06402	ime -ł	ime -ł	жена 3SG	p	obj	s	1	3s	fam	nul	nul	nul	0	s	hum	obj	1	1
KS06501	pox	jiwłap-ăsłap pox	безродный мальчик	n	n	s	0	n	n	nul	nul	nul	0	s	hum	prd	0	0
KS06502	ewi	jiwłap-ăsłap pox ewi	безродный мальчик девочка	n	n	s	0	n	n	nul	nul	nul	0	s	hum	prd	0	0
KS06601	pox -en	pox -en	сын 2SG	p	sbj	s	1	2s	dis	nul	nul	nul	0	s	hum	obj	0	0
KS06701	aśe -ł -ən	aśe -ł -ən	отец 3SG LOC	p	sbj	s	1	3s	fam	loc	nul	nul	0	s	hum	iob	1	1
KS06702	karti	karti	железо	p	sbj	s	0	n	n	nul	nul	nul	0	s	non	gen	0	0
KS06703	ɔntəp -ən	karti ɔntəp -ən	железо люлька LOC	p	sbj	s	0	n	n	loc	nul	nul	0	s	non	iob	0	1
KS06801	karti	karti	железо	p	sbj	s	0	n	n	nul	nul	nul	0	s	non	gen	0	0
KS06802	ɔntəp -ən	karti ɔntəp -ən	железо люлька LOC	p	sbj	s	0	n	n	loc	nul	nul	0	s	non	iob	1	1
KS06803	aŋke -ł -ən	aŋke -ł -ən	мать 3SG LOC	p	sbj	s	1	3s	fam	loc	nul	nul	0	s	hum	iob	1	1
KS06804	karti	karti	железо	p	sbj	s	0	n	n	nul	nul	nul	0	s	non	gen	0	0
KS06805	ɔntəp -a	karti ɔntəp -a	железо люлька DAT	p	sbj	s	0	n	n	dat	nul	nul	0	s	non	iob	1	1
KS06901	karti	karti	железо	p	sbj	s	0	n	n	nul	nul	nul	0	s	non	gen	0	0
KS06902	ɔntəp -a	karti ɔntəp -a	железо люлька DAT	p	sbj	s	0	n	n	dat	nul	nul	0	s	non	iob	1	1
KS06903	pox -əł	pox -əł	сын 3SG	p	sbj	s	1	3s	fam	nul	nul	nul	0	s	hum	sbj	1	1
KS06904	karti	karti	железо	p	sbj	s	0	n	n	nul	nul	nul	0	s	non	gen	0	0
KS06905	ɔntəp	karti ɔntəp	железо люлька	p	sbj	s	0	n	n	nul	nul	nul	0	s	non	sbj	1	1
KS07001	ɔjka -j -əł	ɔjka -j -əł	мужичок STEM 3SG	p	sbj	s	1	3s	dis	nul	nul	nul	0	s	hum	sbj	1	1
KS07101	pox	jiwłap-ăsłap pox	безродный мальчик	n	n	s	0	n	n	nul	nul	nul	0	s	hum	prd	0	0
KS07102	ewi	jiwłap-ăsłap pox ewi	безродный мальчик девочка	n	n	s	0	n	n	nul	nul	nul	0	s	hum	prd	0	0
KS07201	pox -en	pox -en	сын 2SG	p	sbj	s	1	2s	dis	nul	nul	nul	0	s	hum	obj	0	0
KS07401	pox -əł	pox -əł	сын 3SG	p	sbj	s	1	3s	fam	nul	nul	nul	0	s	hum	sbj	1	1
KS07402	łowatti -j -a	łowatti -j -a	величина STEM DAT	p	sbj	s	0	n	n	dat	nul	nul	0	s	non	iob	0	0
KS07501	xătł -a	i xătł -a	один день DAT	p	sbj	s	0	n	n	dat	nul	i	0	s	non	iob	0	1
KS07502	wɔš	wɔš tԑł jɔx	город полный люди	p	sbj	s	0	n	n	nul	nul	nul	0	s	non	sbj	1	1
KS07503	jɔx	jɔx	люди	p	sbj	s	0	n	n	nul	nul	nul	0	s	hum	obj	0	1
KS07504	kǫrt	kǫrt tԑł jɔx	деревня полный люди	p	sbj	s	0	n	n	nul	nul	nul	0	s	non	sbj	1	1
KS07505	jɔx	jɔx	люди	p	sbj	s	0	n	n	nul	nul	nul	0	s	hum	obj	0	1
KS07506	śempər	śempər	щемпэр 	p	sbj	p	0	n	n	nul	nul	nul	0	s	non	gen	1	1
KS07507	kew	śempər kew	щемпэр камень	p	sbj	p	0	n	n	nul	nul	nul	0	s	non	gen	1	1
KS07508	potali -j -ən	śempər kew potali -j -ən	щемпэр камень комок STEM LOC	p	sbj	s	0	n	n	loc	nul	nul	1	s	non	iob	0	1
KS07601	ńoxəs	ńoxəs	соболь	i	sbj	s	0	n	n	nul	nul	nul	0	nu	anm	gen	0	0
KS07602	păłat	ńoxəs păłat	соболь высота	i	sbj	s	0	n	n	nul	nul	nul	0	s	non	obj	0	0
KS07603	wǫrt	wǫrt	бог	i	sbj	s	0	n	n	nul	nul	nul	0	s	hum	gen	1	1
KS07604	pox	pox	сын	i	sbj	s	0	n	n	nul	nul	nul	0	s	hum	nul	1	1
KS07605	śempər	śempər	щемпэр	i	sbj	p	0	n	n	nul	nul	nul	0	s	non	gen	1	1
KS07606	kew	śempər kew	щемпэр камень	i	sbj	p	0	n	n	nul	nul	nul	0	s	non	gen	1	1
KS07607	potali -j -ən	śempər kew potali -j -ən	щемпэр камень комок STEM LOC	i	sbj	s	0	n	n	loc	nul	nul	1	s	non	iob	0	1
KS07701	śempər	śempər	щемпэр	p	sbj	p	0	n	n	nul	nul	nul	0	s	non	gen	1	1
KS07702	kew	śempər kew	щемпэр камень	p	sbj	p	0	n	n	nul	nul	nul	0	s	non	obj	1	1
KS07801	śempər	śempər	щемпэр	p	sbj	p	0	n	n	nul	nul	nul	0	s	non	gen	1	1
KS07802	kew	śempər kew	щемпэр камень	p	sbj	p	0	n	n	nul	nul	nul	0	s	non	obj	1	1
KS08001	śempər	śempər	щемпэр	p	obj	p	0	n	n	nul	nul	nul	0	s	non	gen	1	1
KS08002	kew	śempər kew	щемпэр камень	p	obj	p	0	n	n	nul	nul	nul	0	s	non	obj	1	1
KS08003	kǫrt	kǫrt	деревня	p	sbj	s	0	n	n	nul	nul	nul	0	s	non	gen	1	1
KS08004	wɔš	wɔš tԑł jɔx -ł -ał	город полный люди PL 3SG	p	sbj	s	0	n	n	nul	nul	nul	0	s	non	gen	1	1
KS08005	jɔx -ł -ał	 jɔx -ł -ał	люди PL 3SG	p	sbj	s	1	3s	oth	nul	nul	nul	0	p	hum	obj	0	0
KS08006	pԑlk -əł	i pԑlk -əł	один сторона 3SG	p	sbj	s	1	3s	prt	nul	nul	i	1	s	non	sbj	0	1
KS08101	sԑm -əł	ox -əł sԑm -əł	голова 3SG глаз 3SG	p	sbj	s	1	3s	bod	nul	nul	nul	0	s	non	obj	1	1
KS08102	ox -əł	ox -əł	голова 3SG	p	sbj	s	i	3s	bod	nul	nul	nul	0	s	non	obj	1	1
KS08103	sԑm -əł	sԑm -əł	глаз 3SG	p	sbj	s	i	3s	bod	nul	nul	nul	0	s	non	obj	1	1
KS08201	ałəŋ -a	ałəŋ -a	утро DAT	p	sbj	s	0	n	n	dat	nul	nul	0	s	non	iob	0	1
KS08301	jɔx -ł -ał	jɔx -ł -ał	люди PL 3SG	i	sbj	s	1	3s	oth	nul	nul	nul	0	p	hum	sbj	0	1
KS08302	śempər	śempər	щемпэр	i	sbj	p	0	n	n	nul	nul	nul	0	s	non	gen	1	1
KS08303	kew -ən	śempər kew -ən	щемпэр камень LOC	i	sbj	p	0	n	n	loc	nul	nul	0	s	non	iob	1	1
KS08401	ńoxəs	ńoxəs	соболь	i	sbj	s	0	n	n	nul	nul	nul	0	nu	anm	gen	0	0
KS08402	păłat	ńoxəs păłat	соболь высота	i	sbj	s	0	n	n	nul	nul	nul	0	s	non	obj	0	0
KS08403	wǫrt	wǫrt	бог	i	sbj	s	0	n	n	nul	nul	nul	0	s	hum	gen	1	1
KS08404	pox	pox	сын	i	sbj	s	0	n	n	nul	nul	nul	0	s	hum	nul	1	1
KS08405	śempər	śempər	щемпэр	i	sbj	p	0	n	n	nul	nul	nul	0	s	non	gen	1	1
KS08406	kew	śempər kew	щемпэр камень	i	sbj	p	0	n	n	nul	nul	nul	0	s	non	iob	1	1
KS08601	śempər	śempər	щемпэр	p	sbj	p	0	n	n	nul	nul	nul	0	s	non	gen	1	1
KS08602	kew	śempər kew	щемпэр камень	p	sbj	p	0	n	n	nul	nul	nul	0	s	non	gen	1	1
KS08603	potali	śempər kew potali	щемпэр камень комок	p	sbj	s	0	n	n	nul	nul	nul	1	s	non	obj	1	1
KS08701	śempər	śempər	щемпэр	p	obj	p	0	n	n	nul	nul	nul	0	s	non	gen	1	1
KS08702	kew	śempər kew	щемпэр камень	p	obj	p	0	n	n	nul	nul	nul	0	s	non	gen	1	1
KS08703	potali	śempər kew potali	щемпэр камень комок	p	sbj	s	0	n	n	nul	nul	nul	1	s	non	obj	1	1
KS08704	kǫrt	kǫrt	деревня	p	sbj	s	0	n	n	nul	nul	nul	0	s	non	gen	1	1
KS08705	wɔš	kǫrt tԑł wɔš	деревня полный город	p	sbj	s	0	n	n	nul	nul	nul	0	s	non	gen	1	1
KS08706	jɔx -ł -ał	 jɔx -ł -ał	люди PL 3SG	p	sbj	s	1	3s	oth	nul	nul	nul	0	p	hum	obj	0	0
KS08707	pԑlk -əł	i pԑlk -əł	один половина 3SG	p	sbj	s	1	3s	prt	nul	nul	nul	0	s	non	sbj	0	1
KS08801	ox -əł sԑm -əł	ox -əł sԑm -əł	голова 3SG глаз 3SG	p	sbj	s	1	3s	bod	nul	nul	nul	0	s	non	obj	1	1
KS08802	ox -əł	ox -əł	голова 3SG	p	sbj	s	i	3s	bod	nul	nul	nul	0	s	non	obj	1	1
KS08803	sԑm -əł	sԑm -əł	голова 3SG глаз 3SG	p	sbj	s	i	3s	bod	nul	nul	nul	0	s	non	obj	1	1
KS08901	aśe -ł	aśe -ł	отец 3SG	p	sbj	s	1	3s	fam	nul	nul	nul	0	s	hum	sbj	1	1
KS08902	ime -ł	ime -ł	жена 3SG	p	obj	s	1	3s	fam	nul	nul	nul	0	s	hum	obj	1	1
KS09001	pox	jiwłap-ăsłap pox	безродный мальчик	n	n	s	0	n	n	nul	nul	nul	0	s	hum	nul	0	0
KS09002	ewi	jiwłap-ăsłap pox ewi	безродный мальчик девочка	n	n	s	0	n	n	nul	nul	nul	0	s	hum	nul	0	0
KS09101	pox -en	pox -en	сын 2SG	p	sbj	s	1	2s	dis	nul	nul	nul	0	s	hum	obj	0	0
KS09201	kǫrt	kǫrt	деревня	p	obj	s	0	n	n	nul	nul	nul	0	s	non	gen	1	1
KS09202	wɔš	wɔš tԑł jɔx -ł -ał	город полный люди PL 3SG	p	obj	s	0	n	n	nul	nul	nul	0	s	non	gen	1	1
KS09203	jɔx -ł -ał	jɔx -ł -ał	люди PL 3SG	p	obj	s	1	3s	oth	nul	nul	nul	0	p	hum	obj	0	0
KS09204	pԑlk -əł	i pԑlk -əł	один половина 3SG	p	obj	s	1	3s	prt	nul	nul	nul	0	s	non	obj	0	1
KS09301	ałəŋ -a	ałəŋ -a	утро DAT	p	sbj	s	0	n	n	dat	nul	nul	0	s	non	iob	0	1
KS09401	kǫrt	kǫrt	деревня	i	sbj	s	0	n	n	nul	nul	nul	0	s	non	sbj	1	1
KS09402	wɔš	wɔš tԑł jɔx -ł -ał	город полный люди PL 3SG	i	sbj	s	0	n	n	nul	nul	nul	0	s	non	sbj	1	1
KS09403	jɔx -ł -ał	jɔx -ł -ał	люди PL 3SG	i	sbj	s	1	3s	oth	nul	nul	nul	0	p	hum	obj	0	0
KS09404	śempər	śempər	щемпэр	i	sbj	p	0	n	n	nul	nul	nul	0	s	non	gen	1	1
KS09405	kew	śempər kew	щемпэр камень	i	sbj	p	0	n	n	nul	nul	nul	0	s	non	gen	1	1
KS09406	potali -j -ən	śempər kew potali -j -ən	щемпэр камень комок STEM LOC	i	sbj	s	0	n	n	loc	nul	nul	1	s	non	iob	1	1
