NP_ID	NP_Morph	NP_Gloss	ASP	CNJ	POS	PSS	PHI	SEM	MRK	DRV	DET	NPS	NUM	ANM	SYN	DEF	REF		
ZV01507	sɔrńe -ŋ an -ije -ł	золото ATTR посуда DIM 3SG	p	obj	s	1	3s	own	nul	dim	nul	0	s	non	obj	0	1	ок	Не уверен про определённость и референциальность.
ZV01508	wut	Вут	p	obj	p	0	n	n	nul	nul	nul	0	s	non	app	1	1	ок	
ZV01509	wut imi	Вут женщина	p	obj	s	0	n	n	psp	nul	nul	0	s	non	iob	1	1	ок	Странный синтаксис.
ZV01510	suŋ -a	угол DAT	p	obj	s	0	n	n	dat	nul	nul	0	s	non	iob	0	1	ок	
ZV01901	meń	невестка	p	sbj	s	0	n	n	nul	nul	nul	0	s	hum	sbj	1	1	ок	
ZV02001	pun	шерсть	i	n	s	0	n	n	nul	nul	nul	0	s	non	obj	0	0	ок	
ZV02002	imi	женщина	i	sbj	s	0	n	n	nul	nul	nul	0	s	hum	sbj	1	1	ок	Возможно, другой аспект, там оно подлежащее сразу двух клауз.
ZV02101	in mir	этот народ	p	obj	s	0	n	n	nul	nul	in	0	s	hum	obj	1	1	ок	
ZV02201	kur	нога	p	n	s	0	n	n	nul	nul	nul	0	s	non	gen	1	1	ок	Возможно, тут нереферентно всё-таки.
ZV02202	kur păti -ł -ał	нога дно PL 3PL	p	n	s	1	3p	prt	nul	nul	nul	1	p	non	sbj	1	1	ок	
ZV02203	woj -ən	жир LOC	p	n	s	0	n	n	loc	nul	nul	0	s	non	iob	1	1	ок	Такие статусы реф., потому что жир уже известный.
ZV02204	aj meń	маленький невестка	p	n	s	0	n	n	nul	nul	nul	0	s	hum	sbj	1	1	ок	
ZV02205	oš -a	ум DAT	p	n	s	0	n	n	dat	nul	nul	0	s	non	iob	0	0	ок	кажется, часть СГ
ZV02301	suŋ -a	угол DAT	i	n	s	0	n	n	dat	nul	nul	0	s	non	iob	1	1	ок	Нужно перепроверить аспект
ZV02302	suŋ -a an -ije -ł	посуда DIM 3SG	p	n	s	1	3s	own	nul	dim	nul	0	s	non	obj	1	1	ок	
ZV02401	an -ijԑ -m	посуда DIM 1SG	p	sbj	s	1	1s	own	nul	dim	nul	0	s	non	sbj	1	1	ок	
ZV02501	ma săm -ԑm	я сердце 1SG	p	obj	s	1	1s	bod	nul	nul	nul	1	s	non	obj	1	1	ок	
ZV02502	năŋ săm -en	ты сердце 2SG	p	obj	s	1	2s	bod	nul	nul	nul	1	s	non	obj	1	1	ок	
ZV02701	śi wԑr	этот дело	p	sbj	s	0	n	n	nul	nul	si	0	s	non	sbj	1	1	ок	Определённое дело?
ZV02801	tăł -a	зима DAT	p	sbj	s	0	n	n	dat	nul	nul	0	s	non	sbj	0	1	ок	Дативный субъект?
ZV02802	pupi	медведь	p	sbj	s	0	n	n	nul	nul	nul	0	s	anm	obj	0	1	ок	
ZV02901	meń	невестка	p	sbj	s	0	n	n	nul	nul	nul	0	s	hum	app	1	1	ок	
ZV02902	meń nԑ	невестка женщина	p	sbj	s	0	n	n	nul	nul	nul	0	s	hum	sbj	1	1	ок	
ZV02903	meń nԑ ateł xɔt -ən	дом LOC	p	sbj	s	0	n	n	loc	nul	nul	0	s	non	iob	1	1	ок	Мб дом неопр.
ZV02904	pox -əł	сын 3SG	p	sbj	s	1	3s	fam	psp	nul	nul	0	s	hum	psp	1	1	ок	
ZV03001	śaśe -ł	бабушка 3SG	i	sbj	s	1	3s	fam	nul	nul	nul	0	s	hum	app	1	1	ок	
ZV03002	śaśe -ł imi	бабушка по отцу	i	sbj	s	0	n	n	nul	nul	nul	0	s	hum	sbj	1	1	ок	
ZV03101	pox -ije -n	сын DIM 2SG	p	obj	s	1	2s	fam	nul	dim	nul	0	s	hum	obj	1	1	ок	Какой аспект?
ZV03102	pupi	медведь	p	sbj	s	0	n	n	nul	nul	nul	0	s	anm	attr	0	0	ок	
ZV03103	pupi jak	медведь танец	p	sbj	s	0	n	n	nul	nul	nul	0	s	non	obj	0	1	ок	Возможно, определённый танец.
ZV03201	tur	горло	i	n	s	0	n	n	nul	nul	nul	0	s	non	gen	1	1	ок	Правильно РС? Это же конкретное горло.
ZV03202	tur sij -əł	горло звук 3SG	i	n	s	1	3s	oth	nul	nul	nul	0	s	non	sbj	1	1	ок	
ZV03203	tur sij -əł pa xoras -əp	горло звук 3SG другой вид ATTR	i	n	s	0	n	n	nul	nul	nul	0	s	non	pred	0	0	ок	??
ZV03301	meń -əł -ən	невестка 3SG LOC	i	n	s	1	3s	fam	nul	nul	nul	0	s	non	iob	1	1	ок	Пониженное подлежащее.
ZV03401	ńałm -en	язык 2SG	p	sbj	s	1	2s	bod	nul	nul	nul	0	s	non	obj	1	1	ок	Что с синтаксисом?
ZV03501	ńałm -en	язык 2SG	p	obj	s	1	2s	bod	nul	nul	nul	0	s	non	obj	1	1	ок	
ZV03502	ǫmpi -j -a	ковш STEM DAT	p	obj	s	0	n	n	dat	nul	nul	0	s	anm	iob	0	1	ок	
ZV03601	pox -ije -ł	мальчик DIM 3SG	p	obj	s	1	3s	fam	nul	dim	nul	0	s	hum	obj	0	1	ок	Правильная ли семантика посессива? Я исходил из того, что по смыслу сын => семейные отношения.
ZV03701	pupi	медведь	i	n	s	0	n	n	nul	nul	nul	0	s	anm	sbj	0	1	ок	Я понял как "танцующих медведей дом"
ZV03702	xɔt -a	дом DAT	p	sbj	s	0	n	n	dat	nul	nul	0	s	non	iob	1	1	ок	Возможно, ноепределённый
ZV03801	xiłe -n	внук 2SG	p	sbj	s	1	2s	fam	nul	nul	nul	0	s	hum	obj	1	1	ок	Возможно, дискурсивный посессив вопреки переводу.
ZV04001	pun	шерсть	i	n	s	0	n	n	nul	nul	nul	0	s	non	obj	0	0	ок	
ZV04002	imi -j -ən	женщина STEM LOC	p	n	s	0	n	n	loc	nul	nul	0	s	hum	iob	1	1	ок	
ZV04101	xojat -ən	человек LOC	p	sbj	s	0	n	n	loc	nul	nul	0	s	hum	iob	0	1	ок	Что с синтаксисом?
ZV04102	pun	шерсть	i	n	s	0	n	n	nul	nul	nul	0	s	non	obj	0	0	ок	
ZV04103	imi	женщина	p	sbj	s	0	n	n	nul	nul	nul	0	s	hum	gen	1	1	ок	
ZV04104	imi xɔt -a	женщина дом DAT	p	sbj	s	0	n	n	dat	nul	nul	0	s	non	iob	1	1	ок	
ZV04105	łipi -j -ən	внутренность STEM LOC	n	n	s	0	n	n	loc	nul	nul	0	s	non	iob	1	1	ок	
ZV04106	ńawrԑm	ребенок	n	n	s	0	n	n	nul	nul	nul	0	s	hum	iob	0	1	ок	Мне кажется, что на момент предложения неочевидно, что за ребёнок.
ZV04107	sij	шум	n	n	s	0	n	n	nul	nul	nul	0	s	non	sbj	0	1	ок	Не уверен в реф-статусе
ZV04201	nūm	верх	p	obj	s	0	n	n	nul	nul	nul	0	s	non	gen	1	1	ок	Не уверен про РС
ZV04202	nūm pԑlək	верх сторона	p	obj	s	0	n	n	psp	nul	nul	0	s	non	psp	1	1	ок	
ZV04203	tut -ən	огонь LOC	p	obj	s	0	n	n	loc	nul	nul	0	s	non	??	0	1	ок	??
ZV04301	in imi	этот женщина	p	sbj	s	0	n	n	nul	nul	in	0	s	hum	sbj	1	1	ок	
ZV04302	tut	огонь	n	n	s	0	n	n	nul	nul	nul	0	s	non	gen	0	0	ок	
ZV04303	tut pɔxəl	огонь клубок	n	n	s	0	n	n	nul	nul	nul	0	s	non	sbj	0	1	ок	Не уверен в синтаксисе и РС.
ZV04401	ńawrԑm	ребенок	p	obj	s	0	n	n	psp	nul	nul	0	s	hum	psp	1	1	ок	Там числительное?
ZV04402	wǫnt	лес	p	obj	s	0	n	n	nul	nul	nul	0	s	non	attr	0	0	ок	
ZV04403	wǫnt łǫŋx	лес божество	p	obj	s	0	n	n	nul	nul	nul	0	s	anm	obj	0	1	ок	Какая одушевлённость?
ZV04404	tut -a	огонь DAT	p	obj	s	0	n	n	dat	nul	nul	0	s	non	iob	0	1	ок	
ZV04405	xǫ -j -əŋ	мужчина STEM ATTR	p	sbj	s	0	n	n	nul	nul	nul	0	s	hum	attr	0	0	ок	
ZV04406	xǫ -j -əŋ jis -əŋ	мужчина STEM ATTR век ATTR	p	sbj	s	0	n	n	nul	nul	nul	0	s	non	attr	0	0	ок	
ZV04407	xǫ -j -əŋ jis -əŋ tǫrəm	мужчина STEM ATTR век ATTR жизнь	p	sbj	s	0	n	n	nul	nul	nul	0	s	non	sbj	0	1	ок	
ZV04408	sułtəm	искра	p	sbj	s	0	n	n	nul	nul	nul	0	s	anm	sbj	0	0	ок	Не уверен.
ZV04501	śi kǫrt	этот деревня	p	sbj	s	0	n	n	nul	nul	si	0	s	non	sbj	1	1	ок	
ZV04502	śi wurkəm kǫrt	этот Вуркум деревня	p	sbj	p	0	n	n	nul	nul	nul	0	s	anm	app	1	1	ок	
